mineral,date,data_transformation,obs_value
Cobalt,2025-06,USD,32964.78571428571
Cobalt,2025-07,USD,32895.14130434783
Cobalt,2025-08,USD,32895.97619047619
Cobalt,2025-09,USD,33482.06818181818
Cobalt,2025-10,USD,43145.73913043478
Cobalt,2025-11,USD,48138.85
Cobalt,2025-12,USD,51872.69318181818
Cobalt,2026-01,USD,55500.13636363636
Cobalt,2026-02,USD,55858.175
Cobalt,2026-03,USD,55849.36363636364
Copper,2005-01,INDEX,65.08148632510097
Copper,2005-02,INDEX,66.70436357635029
Copper,2005-03,INDEX,69.41199585105373
Copper,2005-04,INDEX,69.63600964884522
Copper,2005-05,INDEX,66.59754127626805
Copper,2005-06,INDEX,72.510304987638
Copper,2005-07,INDEX,74.12802431896992
Copper,2005-08,INDEX,77.89624053723874
Copper,2005-09,INDEX,79.10312710066782
Copper,2005-10,INDEX,83.3248178558117
Copper,2005-11,INDEX,87.8851527324284
Copper,2005-12,INDEX,94.024680391132
Copper,2006-01,INDEX,97.45187139644888
Copper,2006-02,INDEX,102.1996677599252
Copper,2006-03,INDEX,105.2543523582007
Copper,2006-04,INDEX,131.5649012123923
Copper,2006-05,INDEX,165.5579352822116
Copper,2006-06,INDEX,148.3756145574042
Copper,2006-07,INDEX,158.7284491281446
Copper,2006-08,INDEX,157.9788833091152
Copper,2006-09,INDEX,156.5900466741174
Copper,2006-10,INDEX,154.0174007208383
Copper,2006-11,INDEX,144.4010593100263
Copper,2006-12,INDEX,137.24557225697
Copper,2007-01,INDEX,116.8747080501996
Copper,2007-02,INDEX,117.466526002928
Copper,2007-03,INDEX,132.8149483011071
Copper,2007-04,INDEX,159.2749686555076
Copper,2007-05,INDEX,157.7262563952302
Copper,2007-06,INDEX,154.363114749784
Copper,2007-07,INDEX,163.9502872341666
Copper,2007-08,INDEX,154.0748270447461
Copper,2007-09,INDEX,157.5906253338163
Copper,2007-10,INDEX,164.7649128279261
Copper,2007-11,INDEX,142.9247825929808
Copper,2007-12,INDEX,136.2135543513876
Copper,2008-01,INDEX,145.42025983922
Copper,2008-02,INDEX,163.1329125541542
Copper,2008-03,INDEX,173.2640408175925
Copper,2008-04,INDEX,179.0132586832624
Copper,2008-05,INDEX,171.6577869758954
Copper,2008-06,INDEX,170.3404831311313
Copper,2008-07,INDEX,172.7033459644721
Copper,2008-08,INDEX,156.8192450707224
Copper,2008-09,INDEX,143.2880157637149
Copper,2008-10,INDEX,100.5545284198001
Copper,2008-11,INDEX,76.60776657459913
Copper,2008-12,INDEX,63.78719525148555
Copper,2009-01,INDEX,66.97670174798851
Copper,2009-02,INDEX,68.37474593701118
Copper,2009-03,INDEX,77.46414246588337
Copper,2009-04,INDEX,91.14664111391642
Copper,2009-05,INDEX,94.32122579958396
Copper,2009-06,INDEX,103.0307620622696
Copper,2009-07,INDEX,107.4059821315962
Copper,2009-08,INDEX,126.8899990039323
Copper,2009-09,INDEX,127.2777434104808
Copper,2009-10,INDEX,129.5423481593832
Copper,2009-11,INDEX,137.2757041979394
Copper,2009-12,INDEX,143.32627774724
Copper,2010-01,INDEX,151.3461428977591
Copper,2010-02,INDEX,141.0809307148568
